numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
11,Katie Lawson,Patricia Reynolds,SVXA16230297135119,7,0.0,,2012-02-24T16:01:26,0,0.0,1000000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6037735849056604,0.3962264150943396,-0.50915157320154,800000.0,,2019-06-30T03:00:00,2127907.0,704245.0,3609498.0,2538787.0,366465.0,973971.0,942096.0,4575646.0,296634.0,6.0,-3299332.0,2011.0,De 6 a 10 anos,20000.0,False,True,0.0,81000.0,2020-02-05T15:15:10
12,Ellie Turner,Mohamed Welch,ELQK41348591516215,26,0.0,,2017-12-20T17:03:32,0,0.0,200000.0,AprovadoComite,De 31 a 50 % - Médio,0.5849056603773584,0.4150943396226415,-3e-15,50000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,5369982.0,6118711.0,5595689.0,-720844.0,1715000.0,115000.0,1693990.0,13871246.0,-772398.0,12.0,-9455401.0,2009.0,De 11 a 16 anos,600000.0,False,False,0.0,183509.0,
13,Kathleen Jones,Toby Coleman,TWLY57287382223459,3,0.0,,2019-10-10T11:47:29,0,0.0,1138000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,0.0,1138000.0,,,,,,,,,,0.0,0.0,1.0,0.0,2017.0,De 0 a 5 anos,100000.0,False,True,0.0,33000.0,2020-02-04T17:42:58
14,Nicole Fry,Lewis Harris,PVQV57475295829119,52,0.0,,2006-05-01T13:18:05,0,0.0,350000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
15,Anthony Moore-Jones,Terence Dean-Thompson,XLNC07002754445884,4,0.3145752451,0.0,2019-03-08T00:00:00,0,0.0,200000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7924528301886792,0.2075471698113207,-0.866025403784438,200000.0,,2018-12-31T02:00:00,11780048.0,11680162.0,12582116.0,901953.0,1567918.0,6873822.0,2017848.0,36783195.0,-312950.0,12.0,-25744597.0,1990.0,Acima de 17 anos,530000.0,False,False,1.0,3257020.0,2020-02-05T16:06:44
16,Karen Manning,Gavin Coleman,WHQL39719346986330,28,0.0,,2011-08-08T11:28:00,0,0.0,750000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6037735849056604,0.3962264150943396,0.961985288352223,750000.0,,2018-12-31T02:00:00,198271531.0,107180320.0,218446735.0,111266414.0,10499029.0,116371889.0,42968287.0,538430217.0,10266414.0,12.0,-346633805.0,1999.0,Acima de 17 anos,100000.0,False,True,0.0,349779.0,2020-02-05T20:34:47
17,Daniel Shepherd,Charles Hughes,NXRJ16458301617069,19,0.0,,2009-05-30T11:49:31,0,0.0,3900000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6226415094339622,0.3773584905660377,-0.750772914901916,3900000.0,,2018-12-31T02:00:00,198271531.0,107180320.0,218446735.0,111266414.0,10499029.0,116371889.0,42968287.0,538430217.0,10216020.0,12.0,-346633805.0,1992.0,Acima de 17 anos,2000000.0,True,False,0.0,0.0,2020-02-06T15:02:37
18,Louise Baker,Martin Andrews,RAYM82479248299653,2,0.3078937009,0.0,2018-07-10T00:00:00,0,0.0,40000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
19,Mr. John Clarke,Nicola Vaughan,IOFP88433962679693,4,0.0,,2018-06-13T17:43:00,0,0.0,350000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.6981132075471698,0.3018867924528301,-0.866025403784439,350000.0,,2018-12-31T02:00:00,198271531.0,107180320.0,218446735.0,111266414.0,10499026.0,116371889.0,42968287.0,538430217.0,10216020.0,12.0,-346633805.0,1992.0,Acima de 17 anos,2000000.0,True,False,0.0,0.0,2020-02-06T13:56:55
20,Brian Harris,Dr. Jeremy Thomas,EVNK64152188336281,5,0.3941183759,0.0,2016-01-20T00:00:00,0,0.0,2000000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.8867924528301886,0.1132075471698113,0.0,1600000.0,,2018-12-31T02:00:00,1164378.0,50773.0,1164378.0,1113605.0,0.0,0.0,0.0,57950454.0,18419747.0,12.0,39530707.0,1994.0,Acima de 17 anos,4500000.0,False,False,0.9999758553,7057328.0,2020-02-13T19:25:07
21,Dr. Terry Smith,Dr. Mary Stokes,HMFO23636187362512,40,0.458051889,0.0,2017-11-22T00:00:00,0,12882.35,34000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,-0.866025403784439,34000.0,,,,,,,,,,2915470.0,1034268.0,12.0,-852138.0,2009.0,De 11 a 16 anos,150000.0,False,True,1.0,2700.0,2020-02-05T20:08:45
22,Marilyn Chan-Anderson,Raymond Parker,PCVI24213068479712,60,0.3757811558,0.0,2014-03-31T00:00:00,1,2400.02,350000.0,AprovadoComite,De 51 a 80 % - Alto,0.4716981132075471,0.5283018867924528,0.999990121860262,180000.0,2020-02-07T18:57:37,2018-12-31T02:00:00,1164378.0,1164378.0,1164378.0,1113605.0,0.0,0.0,0.0,1976986.0,339799.0,12.0,832480.0,2008.0,De 11 a 16 anos,50000.0,True,True,0.6913422987,46253.0,
23,Mary Smith,Mr. Leon Smith,HMOW17454360616914,18,0.6915,0.0,2013-02-18T00:00:00,0,0.0,50000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6792452830188679,0.320754716981132,7.5e-15,50000.0,,2018-12-31T00:00:00,3670009.0,139759.0,3775553.0,3414586.0,0.0,1444038.0,788280.0,9077423.0,1182617.0,12.0,-6807767.0,2009.0,De 11 a 16 anos,900000.0,False,True,0.9918288416,539660.0,2020-02-05T20:17:07
24,Mr. Danny Davies,Gerard Marshall-Clarke,VPSW77029129679550,35,0.3104742762,0.0,2017-09-06T00:00:00,25,46949.3,320000.0,AprovadoComite,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,0.0,200000.0,2020-02-21T12:42:19,2019-06-30T03:00:00,436463830.0,463089426.0,732841447.0,-112089780.0,141143911.0,128135703.0,153339372.0,282662079.0,52217624.0,6.0,258298725.0,1996.0,Acima de 17 anos,96791092.0,True,False,0.7694721926,25641275.0,
25,Lynda Saunders,Katherine Clements,LCKD90518287718177,6,0.0,,2010-05-21T17:12:17,0,0.0,50000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
26,Barry Whitehead,Mrs. Dawn Kay,LSWO05242442631373,14,0.2860282532,0.0,2009-06-17T00:00:00,0,0.0,300000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,0.0,300000.0,,,,,,,,,,30348455.0,0.0,12.0,0.0,2006.0,De 11 a 16 anos,1000000.0,False,False,1.0,1895888.0,2020-02-19T13:22:46
27,Miss Dorothy Phillips,Mr. Kenneth Brooks,SPWA04763690788971,23,0.5536921381,0.0,2007-03-15T00:00:00,0,0.0,70000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
28,Declan Bolton,Marcus Stewart,GMDC41398326600676,0,0.0,,2019-12-19T17:29:40,0,0.0,15000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,0.0,,,,,,,,,,,47730.0,0.0,12.0,0.0,2008.0,De 11 a 16 anos,72400.0,True,True,0.0,0.0,
29,Robin Turner,Mr. Terence Johnson,XYYW56476871254905,4,0.4412714583,0.0,2018-04-25T00:00:00,0,0.0,100000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,-0.866025403784439,100000.0,,2018-12-31T02:00:00,7906301.0,26941726.0,7906301.0,7492447.0,0.0,3019632.0,2086571.0,23161787.0,5752085.0,12.0,14712042.0,2014.0,De 6 a 10 anos,150000.0,False,True,1.0,102862.0,2020-02-06T14:07:01
30,Fiona Weston,Aimee Marshall,LIYU34722071053277,11,0.5357123203,0.0,2018-06-26T00:00:00,0,0.0,20000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
31,Debra Wood,Adrian West,KENB40610230940169,0,0.0,,2016-08-25T17:20:08,0,0.0,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
32,Elliott Rose,Deborah Jones-Gibson,JJJO86195665960207,9,0.5932736371,0.0,2016-11-18T00:00:00,31,5549.21,50000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6037735849056604,0.3962264150943396,0.0,20000.0,,2019-12-31T00:00:00,395460.0,235201.0,395460.0,53053.0,102438.0,0.0,342845.0,1011836.0,-55361.0,12.0,-645988.0,2003.0,Acima de 17 anos,88000.0,False,True,1.0,788688.0,2020-02-05T20:46:45
33,Mrs. Joyce Palmer,Sarah Singh,NGUK12954301438508,0,0.3363405629,0.0,2017-08-07T00:00:00,0,0.0,10000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6037735849056604,0.3962264150943396,0.0,10000.0,,,,,,,,,,480000.0,0.0,12.0,0.0,1997.0,Acima de 17 anos,5000.0,False,True,1.0,12420.0,2020-02-05T18:33:21
34,Mr. Josh Parker,Mohamed Walker,AJIA58482400691635,807,0.0,,2007-07-02T17:09:55,0,0.0,20000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3962264150943396,0.6037735849056604,-0.0357139149469988,10000.0,,,,,,,,,,0.0,0.0,1.0,0.0,1992.0,Acima de 17 anos,1400000.0,False,True,0.0,527934.0,2020-02-05T17:21:49
35,Lauren Kirk-Fleming,Charlene Miller,KRJP50358458487256,13,0.0,,2018-11-21T17:48:51,0,0.0,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
36,Hayley Wilson-Watkins,Mrs. Sharon Fox,LTLQ00302498552900,0,0.4737096339,0.0,2019-02-22T00:00:00,0,0.0,40000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
37,Dr. Leslie Mitchell,Brandon Lewis,UQUH72595348437743,135,0.387283882,0.0,2018-06-13T00:00:00,0,0.0,30000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,-0.929780077034291,,,2019-12-31T00:00:00,1592690.0,1592690.0,1592690.0,1165590.0,0.0,0.0,1475537.0,1421389.0,1387232.0,12.0,2554508.0,2012.0,De 6 a 10 anos,100000.0,True,True,1.0,0.0,
38,Dr. Henry Jones,Toby Taylor,RKYL60948261495604,3,0.4576666993,0.0,2009-06-29T00:00:00,0,0.0,30000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,30000.0,,,,,,,,,,3359403.0,0.0,12.0,0.0,2008.0,De 11 a 16 anos,78800.0,False,True,1.0,52800.0,2020-02-05T18:37:57
39,Carly Murphy,Dr. Wayne Williams,DXVE26432648734958,4,0.5318418029,0.0,2011-08-16T00:00:00,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,0.0,20000.0,,,,,,,,,,2316989.0,0.0,12.0,0.0,2010.0,De 6 a 10 anos,99800.0,False,True,1.0,88000.0,2020-02-05T18:39:17
40,Mr. Thomas Ward,Pamela Jackson,WGWU96704999062054,17,0.0,,2018-10-05T17:27:12,0,0.0,15000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3396226415094339,0.660377358490566,-0.866025403784439,10000.0,,,,,,,,,,102444.0,0.0,7.0,0.0,2016.0,De 0 a 5 anos,95400.0,False,True,0.0,1600.0,2020-02-05T18:41:20
41,Danny Kennedy,Paige Simpson,IJVB13269462571891,3,0.0,,2011-08-02T17:13:06,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.8490566037735849,0.150943396226415,0.0,20000.0,,,,,,,,,,5159452.0,0.0,6.0,0.0,1992.0,Acima de 17 anos,200000.0,False,False,0.0,1091250.0,2020-02-06T20:38:55
42,Oliver Nelson,Diane Mellor,JNZU40131737101208,0,0.4327342124,0.0,2020-01-15T00:00:00,0,0.0,10000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.490566037735849,0.5094339622641509,0.0,,,,,,,,,,,172560.0,0.0,12.0,0.0,2019.0,De 0 a 5 anos,5000.0,False,True,1.0,1120.0,
43,Dr. Michael North,Leah Sheppard,IYZA05872767332466,2,0.0,,2013-09-30T17:15:04,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,20000.0,,2019-12-31T00:00:00,437853.0,272388.0,450614.0,178225.0,0.0,0.0,201085.0,624350.0,-3319.0,12.0,-431401.0,2008.0,De 11 a 16 anos,40000.0,False,True,0.0,10800.0,2020-02-05T18:48:03
44,Mrs. Tina Cox,William Miller,SLUA32337517673766,0,0.3589796807,0.0,2018-01-09T00:00:00,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.830188679245283,0.1698113207547169,0.0,20000.0,,,,,,,,,,47595914.0,0.0,12.0,0.0,2006.0,De 11 a 16 anos,550000.0,False,False,1.0,3687008.0,2020-02-05T18:49:27
45,Philip Haynes,Dr. Luke Perkins,TVUP59036702738493,2,0.0,,2017-05-18T17:21:49,0,0.0,15000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,0.0,11000.0,,,,,,,,,,756924.0,0.0,12.0,0.0,1994.0,Acima de 17 anos,30000.0,True,True,0.0,12800.0,2020-02-05T16:18:55
47,Neil Wilson-Moore,Connor Lloyd,NQVD66927247638857,43,0.3700701446,0.0,2006-06-01T00:00:00,0,2480.0,15000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6792452830188679,0.320754716981132,0.0,15000.0,,,,,,,,,,2179468.0,0.0,12.0,0.0,2005.0,De 11 a 16 anos,60000.0,False,True,1.0,7020.0,2020-02-05T18:50:41
49,Miss Olivia Charlton,Martin Horton,LAOH78168410122240,10,0.3908721543,0.0,2014-11-06T00:00:00,0,0.0,40000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,-0.802648386804539,15000.0,,,,,,,,,,1019546.0,0.0,12.0,0.0,2000.0,Acima de 17 anos,10000.0,False,True,1.0,5920.0,2020-02-05T18:54:53
50,Sylvia Bryant,Abbie McLean-Fowler,DFGK41630869614960,3,0.4353922101,0.0,2017-07-04T00:00:00,0,0.0,30000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,0.0,10000.0,,,,,,,,,,311260.0,0.0,12.0,0.0,2017.0,De 0 a 5 anos,10000.0,False,True,1.0,6400.0,2020-02-05T19:10:43
51,Dr. Billy Wells,Dr. Christopher Saunders,DDGD62654890764375,3,0.3533614354,0.0,2018-03-22T00:00:00,0,0.0,80000.0,ReprovadoAnalista,De 11 a 30 % - Baixo,0.6981132075471698,0.3018867924528301,0.0,,,2019-10-31T03:00:00,17040601.0,10487000.0,17603497.0,1931629.0,2268831.0,10328670.0,6615614.0,438103964.0,2916036.0,12.0,-27592668.0,2008.0,De 11 a 16 anos,600000.0,True,True,1.0,2700.0,
52,Alison Ali,Philip Daniels,UHSZ57059363067433,0,0.0,,2019-04-22T17:28:19,0,0.0,7000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6226415094339622,0.3773584905660377,0.0,7000.0,,,,,,,,,,0.0,0.0,1.0,0.0,2008.0,De 11 a 16 anos,100000.0,False,True,0.0,8800.0,2020-02-05T19:12:13
53,Toby Atkins,Dr. Christopher Saunders,DDMD82941295966539,6,0.3720908912,0.0,2018-01-31T00:00:00,0,0.0,50000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5283018867924528,0.4716981132075471,-0.866025403784439,50000.0,,,,,,,,,,43810396.0,0.0,12.0,0.0,2008.0,De 11 a 16 anos,600000.0,True,True,1.0,2700.0,2020-02-06T16:52:55
54,Dr. Leigh Clarke,Terence Nicholls,ASBJ52162229993512,3,0.4186828305,0.0,2006-09-01T00:00:00,0,3591.24,40000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,1.15e-14,40000.0,,,,,,,,,,3101081.0,0.0,12.0,0.0,1998.0,Acima de 17 anos,60000.0,False,False,0.9946541086,99900.0,2020-02-05T19:15:50
55,Kate Blackburn,Gareth Hussain,YIQH62542186185688,2,0.5607103857,0.0,2018-08-23T00:00:00,55,5400.0,20000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6037735849056604,0.3962264150943396,0.0,20000.0,,,,,,,,,,6230653.0,0.0,12.0,0.0,2015.0,De 0 a 5 anos,300000.0,False,True,1.0,38000.0,2020-02-05T19:05:38
56,Ms. Marion Parsons,Dr. Adrian Gilbert,YKMA43405696220284,18,0.448130494,0.0,2019-09-26T00:00:00,21,2192.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,0.0,20000.0,,,,,,,,,,333210.0,0.0,1.0,0.0,2012.0,De 6 a 10 anos,800000.0,False,True,1.0,0.0,2020-02-06T15:06:10
57,Gordon Jones-Hopkins,Sara Reid-Robson,KJND32266018316396,20,0.0,,2017-02-13T17:20:27,0,0.0,22000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,-0.685620325804012,15000.0,,,,,,,,,,1285274.0,0.0,12.0,0.0,2013.0,De 6 a 10 anos,30000.0,False,True,0.0,5920.0,2020-02-05T16:09:52
58,Mr. Andrew Bruce,Robin North,VYPC07643507109960,4,0.4752585847,0.0,2015-03-27T00:00:00,0,0.0,100000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7735849056603773,0.2264150943396226,0.0,100000.0,,2019-12-31T03:00:00,3789231.0,846020.0,4149907.0,521942.0,772841.0,2231773.0,2894639.0,117090514.0,499790.0,12.0,-7231554.0,2011.0,De 6 a 10 anos,100000.0,False,True,1.0,221884.0,2020-02-06T14:04:23
59,Brian Ferguson,Mr. Charles Thomas,FIGO66059539305030,3,0.4227695299,0.0,2019-03-12T00:00:00,12,2916.0,10000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
60,Marian Booth,Ms. Jane Spencer,EMAG70468864729136,6,0.0,,2006-05-12T17:07:19,0,0.0,50000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6226415094339622,0.3773584905660377,0.0,50000.0,,,,,,,,,,2876710.0,0.0,12.0,0.0,1999.0,Acima de 17 anos,30303.0,False,True,0.0,129000.0,2020-02-06T13:58:05
61,Julia Williams,Sandra Campbell,LOHT42032319683132,18,0.2911279282,0.0,2013-12-04T00:00:00,67,100850.04,50000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.4716981132075471,0.5283018867924528,0.866025403784439,,,,,,,,,,,8983936.0,0.0,12.0,0.0,2006.0,De 11 a 16 anos,95400.0,True,True,0.9626872291,0.0,
62,Iain McDonald,Angela Walker,XUUV78911816655220,5,0.429255171,0.0,2012-05-14T00:00:00,0,0.0,20000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.6415094339622641,0.3584905660377358,0.0,,,,,,,,,,,2498876.0,0.0,12.0,0.0,2009.0,De 11 a 16 anos,95000.0,True,True,1.0,34400.0,
63,John Mason,Natalie Law-Allen,OQOK79209296914616,18,0.0,,2017-11-28T17:03:44,0,0.0,100000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.4150943396226415,0.5849056603773584,0.63795180211553,40000.0,,,,,,,,,,10631840.0,0.0,12.0,0.0,2016.0,De 0 a 5 anos,95400.0,False,True,0.0,8500.0,2020-02-06T15:04:37
64,Grace Morton-Blake,Bruce Harrison,XVFX90049646219876,23,0.0,,2012-12-28T11:31:43,0,0.0,50000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5471698113207547,0.4528301886792452,0.0,50000.0,,,,,,,,,,0.0,0.0,1.0,0.0,2003.0,Acima de 17 anos,150000.0,False,False,0.0,10789514.0,2020-02-06T17:26:15
65,Brenda Clarke,Dr. Mohamed Phillips,APRH60376910869961,36,0.5048304899,0.0,2011-10-14T00:00:00,48,95983.74,150000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6037735849056604,0.3962264150943396,0.0,150000.0,,2019-12-31T03:00:00,2197.0,-355509.0,922394.0,50000.0,0.0,497220.0,103615.0,2920793.0,-171329.0,12.0,235486.0,2010.0,De 6 a 10 anos,50000.0,False,True,1.0,152000.0,2020-02-06T17:21:05
66,Sylvia Rose,Mrs. Kerry Hudson,QTYV59257984651476,8,0.2908974741,0.0,2013-04-25T00:00:00,0,0.0,30000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,-0.0800301810088627,30000.0,,,,,,,,,,0.0,0.0,1.0,0.0,2007.0,De 11 a 16 anos,15000.0,False,True,1.0,7400.0,2020-02-06T17:27:06
67,Jeffrey Wright,Brett Marsh,LTJB33941153397394,4,0.5742936508,0.0,2013-05-16T00:00:00,105,15520.0,25000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9433962264150944,0.0566037735849056,0.0,25000.0,,2019-12-31T00:00:00,11301537.0,7753324.0,12270860.0,4517535.0,0.0,7142416.0,2872736.0,73828034.0,1605229.0,12.0,-43339992.0,2004.0,De 11 a 16 anos,30000.0,False,False,1.0,6167959.0,2020-02-06T20:45:11
68,Dale O'Sullivan-Moore,Nathan Jones,KDZJ41266928454221,19,0.4798450253,0.0,2018-10-22T00:00:00,41,8880.0,20000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
70,Ronald Moore,Susan Payne,QNFU52239521391746,3,0.6505242696,0.0,2013-11-06T00:00:00,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,20000.0,,,,,,,,,,3365514.0,0.0,12.0,0.0,2000.0,Acima de 17 anos,68000.0,False,True,1.0,19000.0,2020-02-06T17:27:57
